,GeneID,JobType,ResourceKey,faultid,CalloutDateTime,StoreKey,Longitude,Latitude,Priority,KPITargetDate,EstimatedJobDuration,HoursToTarget,BenchMarkName,KPIAchieved,JobCount
97,23,PPM,1653,966890,2018-04-26 12:24:45.700,3344,146.760704,-19.297871,Low,2018-08-03 23:59:59.000,1,754,2018_07_03_132900,1,2
98,25,PPM,1653,982852,2018-05-17 14:36:48.810,1148,146.761557,-19.301663,Low,2018-07-04 23:59:59.000,1,34,2018_07_03_132900,1,2
99,287,Response,1653,5623489,2018-05-14 11:18:00.000,2969,146.150727,-18.651493,Medium,2018-05-16 11:18:00.000,1,-1154,2018_07_03_132900,0,2
100,306,Response,1653,5640365,2018-05-24 12:29:00.000,4139,146.739,-19.2885,Medium,2018-05-28 12:29:00.000,1,-865,2018_07_03_132900,0,2
101,340,Response,1653,5675289,2018-06-18 09:35:00.000,5337,146.6749974,-19.1995716,Medium,2018-06-20 09:35:00.000,1,-316,2018_07_03_132900,0,2
102,360,Response,1653,5693819,2018-06-29 11:04:00.000,2969,146.150727,-18.651493,Medium,2018-07-03 11:04:00.000,1,-2,2018_07_03_132900,0,2
103,361,Response,1653,5699205,2018-07-03 10:26:00.000,4139,146.739,-19.2885,Medium,2018-07-05 10:26:00.000,1,45,2018_07_03_132900,0,2
104,362,Response,1653,5699254,2018-07-03 10:39:00.000,3321,146.8110675,-19.2477814,Medium,2018-07-05 10:39:00.000,1,45,2018_07_03_132900,0,2
105,363,Response,1653,5699742,2018-07-03 13:29:00.000,3344,146.760704,-19.297871,Medium,2018-07-05 13:29:00.000,1,48,2018_07_03_132900,1,2
106,0,Current Location,1653,0,2099-12-31 00:00:00.000,0,146.739,-19.2885,Low,2099-12-31 00:00:00.000,0,0,2018_07_04_040000,0,2
107,5,PPM,1653,998705,2018-05-25 08:54:16.620,3357,146.794952,-19.292549,Low,2018-08-03 23:59:59.000,1,739,2018_07_04_040000,1,2
108,6,PPM,1653,966891,2018-05-28 09:12:10.150,3357,146.794952,-19.292549,Low,2018-08-03 23:59:59.000,1,739,2018_07_04_040000,1,2
109,10,PPM,1653,1074386,2018-06-19 14:41:24.310,5337,146.6749974,-19.1995716,Low,2018-08-03 23:59:59.000,1,739,2018_07_04_040000,1,2
110,11,PPM,1653,1054626,2018-06-19 14:49:08.450,2969,146.150727,-18.651493,Low,2018-08-03 23:59:59.000,1,739,2018_07_04_040000,1,2
111,12,PPM,1653,1058362,2018-06-19 14:59:43.150,3321,146.8110675,-19.2477814,Low,2018-08-03 23:59:59.000,1,739,2018_07_04_040000,1,2
112,13,PPM,1653,1060715,2018-06-19 15:12:22.720,4139,146.739,-19.2885,Low,2018-08-03 23:59:59.000,1,739,2018_07_04_040000,1,2
113,14,PPM,1653,1060860,2018-06-19 15:13:14.230,3344,146.760704,-19.297871,Low,2018-08-03 23:59:59.000,1,739,2018_07_04_040000,1,2
114,15,PPM,1653,1060872,2018-06-19 15:13:19.010,3357,146.794952,-19.292549,Low,2018-08-03 23:59:59.000,1,739,2018_07_04_040000,1,2
115,16,PPM,1653,1018309,2018-06-25 09:35:29.320,2969,146.150727,-18.651493,Low,2018-08-03 23:59:59.000,1,739,2018_07_04_040000,1,2
116,18,PPM,1653,1020691,2018-06-25 10:02:40.860,3321,146.8110675,-19.2477814,Low,2018-08-03 23:59:59.000,1,739,2018_07_04_040000,1,2
117,19,PPM,1653,1022461,2018-06-25 10:37:51.290,4139,146.739,-19.2885,Low,2018-08-03 23:59:59.000,1,739,2018_07_04_040000,1,2
118,20,PPM,1653,1022617,2018-06-25 10:41:12.350,3344,146.760704,-19.297871,Low,2018-08-03 23:59:59.000,1,739,2018_07_04_040000,1,2
119,21,PPM,1653,1022629,2018-06-25 10:41:20.540,3357,146.794952,-19.292549,Low,2018-08-03 23:59:59.000,1,739,2018_07_04_040000,1,2
120,23,PPM,1653,966890,2018-04-26 12:24:45.700,3344,146.760704,-19.297871,Low,2018-08-03 23:59:59.000,1,739,2018_07_04_040000,1,2
121,25,PPM,1653,982852,2018-05-17 14:36:48.810,1148,146.761557,-19.301663,Low,2018-07-04 23:59:59.000,1,19,2018_07_04_040000,1,2
122,287,Response,1653,5623489,2018-05-14 11:18:00.000,2969,146.150727,-18.651493,Medium,2018-05-16 11:18:00.000,1,-1169,2018_07_04_040000,0,2
123,306,Response,1653,5640365,2018-05-24 12:29:00.000,4139,146.739,-19.2885,Medium,2018-05-28 12:29:00.000,1,-880,2018_07_04_040000,0,2
